Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0603_1608Metric,108.81,-90.78,0.0,top
C2,1µF,C_0402_1005Metric,107.95,-98.93,90.0,top
C3,1µF,C_0402_1005Metric,108.71,-98.93,90.0,top
C4,0.1µF,C_0402_1005Metric,107.02,-97.0,-90.0,top
C5,0.1µF,C_0402_1005Metric,106.01,-96.0,-90.0,top
C6,0.1µF,C_0402_1005Metric,102.85,-93.82,180.0,top
C7,0.1µF,C_0402_1005Metric,101.15,-93.82,0.0,top
C8,0.1µF,C_0402_1005Metric,110.834821,-91.449848,-38.659,top
C9,10µF,C_0603_1608Metric,106.22,-90.78,180.0,top
D1,PESD5V0L1UL,D_SOD-882,110.365472,-98.684528,-141.341,top
Q1,AO3401A,SOT-23,108.6375,-91.875,0.0,bottom
R1,1kΩ,R_0402_1005Metric,109.825,-97.825,38.659,top
R10,10kΩ,R_0402_1005Metric,102.98,-91.36,180.0,top
R11,20kΩ,R_0402_1005Metric,102.98,-99.38,0.0,top
R12,10kΩ,R_0402_1005Metric,102.98,-98.62,180.0,top
R2,4.7kΩ,R_0402_1005Metric,104.71,-99.38,0.0,top
R3,10kΩ,R_0402_1005Metric,102.87,-93.08,180.0,top
R4,0.1Ω 1%,R_1206_3216Metric,102.01,-95.7725,270.0,bottom
R5,330Ω,R_0402_1005Metric,105.625,-92.85,90.0,top
R6,10kΩ,R_0402_1005Metric,110.05,-95.87,90.0,top
R7,20kΩ,R_0402_1005Metric,106.8,-98.89,90.0,top
R8,10kΩ,R_0402_1005Metric,106.04,-98.89,-90.0,top
R9,20kΩ,R_0402_1005Metric,102.98,-90.62,0.0,top
U1,TPAP2210K-3.3TRG1,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,108.0,-98.43,0.0,bottom
U2,SN74LVC1G07DRLR_C19829624,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,108.54,-96.72,0.0,top
U3,DRV8837DSGR-JSM,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,102.35,-95.46,0.0,top
U4,CH32V006F8U6,UQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,108.14,-93.42,90.0,top
